"aca.fav","state","race","income","sex","sex.race","age","education","month","year","polling.org"
1,"CA","Other","$75,000+","Male","Male.Other","45-64","college graduate","June","2012","Kaiser"
0,"AZ","Hispanic","$75,000+","Female","Female.Hispanic","45-64","some college","June","2012","Kaiser"
1,"FL","White","$20,000-$40,000","Male","Male.White","30-44","high school graduate","June","2012","Kaiser"
1,"FL","Black","$40,000-$75,000","Male","Male.Black","30-44","college graduate","June","2012","Kaiser"
1,"AZ","White","$75,000+","Male","Male.White","30-44","college graduate","June","2012","Kaiser"
0,"CO","Hispanic","$75,000+","Female","Female.Hispanic","45-64","postgraduate","June","2012","Kaiser"
0,"WI","White","less than $20,000","Female","Female.White","18-29","some college","June","2012","Kaiser"
0,"OH","White","$20,000-$40,000","Female","Female.White","30-44","less than a high school education","June","2012","Kaiser"
0,"NY","White","$75,000+","Male","Male.White","45-64","college graduate","June","2012","Kaiser"
0,"KY","White","$40,000-$75,000","Male","Male.White","45-64","college graduate","June","2012","Kaiser"
0,"CA","Other","$75,000+","Male","Male.Other","30-44","college graduate","June","2012","Kaiser"
0,"AZ","White","$75,000+","Male","Male.White","45-64","postgraduate","June","2012","Kaiser"
1,"CA","Hispanic","$40,000-$75,000","Female","Female.Hispanic","18-29","postgraduate","June","2012","Kaiser"
1,"FL","White","$75,000+","Female","Female.White","30-44","postgraduate","June","2012","Kaiser"
1,"TX","Other","$75,000+","Male","Male.Other","18-29","postgraduate","June","2012","Kaiser"
1,"SC","White","$75,000+","Male","Male.White","45-64","high school graduate","June","2012","Kaiser"
1,"GA","Hispanic","$75,000+","Male","Male.Hispanic","30-44","postgraduate","June","2012","Kaiser"
0,"KY","White","$40,000-$75,000","Male","Male.White","45-64","some college","June","2012","Kaiser"
1,"WA","Black","less than $20,000","Female","Female.Black","18-29","some college","June","2012","Kaiser"
1,"TX","Other","$75,000+","Female","Female.Other","30-44","postgraduate","June","2012","Kaiser"
0,"CA","White","$40,000-$75,000","Female","Female.White","45-64","college graduate","June","2012","Kaiser"
0,"IL","White","$20,000-$40,000","Male","Male.White","18-29","high school graduate","June","2012","Kaiser"
1,"PA","Black","$40,000-$75,000","Female","Female.Black","45-64","less than a high school education","June","2012","Kaiser"
1,"NC","White","$20,000-$40,000","Male","Male.White","65+","high school graduate","June","2012","Kaiser"
1,"IL","White","$20,000-$40,000","Female","Female.White","45-64","some college","June","2012","Kaiser"
1,"NY","White","$75,000+","Male","Male.White","30-44","postgraduate","June","2012","Kaiser"
1,"FL","Black","$75,000+","Male","Male.Black","45-64","high school graduate","June","2012","Kaiser"
1,"TN","White","$20,000-$40,000","Male","Male.White","18-29","some college","June","2012","Kaiser"
1,"FL","White","$75,000+","Female","Female.White","45-64","college graduate","June","2012","Kaiser"
1,"WA","White","less than $20,000","Female","Female.White","18-29","postgraduate","June","2012","Kaiser"
1,"CA","Other","less than $20,000","Male","Male.Other","18-29","some college","June","2012","Kaiser"
1,"NE","White","$40,000-$75,000","Male","Male.White","45-64","high school graduate","June","2012","Kaiser"
1,"KS","White","$75,000+","Male","Male.White","30-44","college graduate","June","2012","Kaiser"
0,"NJ","White","$40,000-$75,000","Female","Female.White","45-64","some college","June","2012","Kaiser"
0,"CA","Hispanic","less than $20,000","Female","Female.Hispanic","18-29","less than a high school education","June","2012","Kaiser"
0,"PA","White","$20,000-$40,000","Male","Male.White","30-44","college graduate","June","2012","Kaiser"
0,"NC","White","less than $20,000","Female","Female.White","45-64","college graduate","June","2012","Kaiser"
1,"NC","Black","less than $20,000","Female","Female.Black","45-64","high school graduate","June","2012","Kaiser"
0,"FL","White","$40,000-$75,000","Male","Male.White","18-29","some college","June","2012","Kaiser"
0,"AZ","White","$20,000-$40,000","Male","Male.White","18-29","college graduate","June","2012","Kaiser"
0,"MO","White","$20,000-$40,000","Female","Female.White","65+","some college","June","2012","Kaiser"
0,"NY","White","$75,000+","Female","Female.White","45-64","postgraduate","June","2012","Kaiser"
1,"MI","Hispanic","$40,000-$75,000","Male","Male.Hispanic","18-29","high school graduate","June","2012","Kaiser"
1,"FL","Hispanic","$75,000+","Male","Male.Hispanic","18-29","some college","June","2012","Kaiser"
0,"MS","White","$40,000-$75,000","Female","Female.White","65+","some college","June","2012","Kaiser"
0,"FL","White","$20,000-$40,000","Female","Female.White","45-64","high school graduate","June","2012","Kaiser"
1,"IL","Hispanic","$40,000-$75,000","Male","Male.Hispanic","30-44","high school graduate","June","2012","Kaiser"
1,"CA","White","$75,000+","Male","Male.White","18-29","postgraduate","June","2012","Kaiser"
1,"NC","White","less than $20,000","Male","Male.White","30-44","postgraduate","June","2012","Kaiser"
1,"TX","White","$40,000-$75,000","Male","Male.White","30-44","high school graduate","June","2012","Kaiser"
1,"MI","White","less than $20,000","Male","Male.White","18-29","some college","June","2012","Kaiser"
0,"IN","White","$40,000-$75,000","Female","Female.White","45-64","college graduate","June","2012","Kaiser"
0,"ND","White","$40,000-$75,000","Male","Male.White","65+","college graduate","June","2012","Kaiser"
1,"FL","Hispanic","$20,000-$40,000","Female","Female.Hispanic","18-29","less than a high school education","June","2012","Kaiser"
1,"MN","White","$20,000-$40,000","Male","Male.White","45-64","college graduate","June","2012","Kaiser"
0,"IA","White","$75,000+","Male","Male.White","45-64","college graduate","June","2012","Kaiser"
0,"IL","White","less than $20,000","Male","Male.White","65+","some college","June","2012","Kaiser"
1,"CA","White","$40,000-$75,000","Male","Male.White","30-44","high school graduate","June","2012","Kaiser"
1,"WA","White","$40,000-$75,000","Female","Female.White","45-64","college graduate","June","2012","Kaiser"
0,"NC","White","$75,000+","Male","Male.White","45-64","high school graduate","June","2012","Kaiser"
0,"MO","White","$20,000-$40,000","Male","Male.White","30-44","high school graduate","June","2012","Kaiser"
1,"WI","White","$75,000+","Male","Male.White","18-29","college graduate","June","2012","Kaiser"
0,"TN","White","$75,000+","Male","Male.White","45-64","college graduate","June","2012","Kaiser"
0,"TX","White","$40,000-$75,000","Male","Male.White","18-29","college graduate","June","2012","Kaiser"
