"aca.fav","tea.party","state","race","income","sex","age","education","month","year","polling.org"
1,0,"PA","White","less than $20,000","Male","65+","less than a high school education","February","2012","Kaiser"
1,0,"AL","Black","less than $20,000","Female","45-64","some college","February","2012","Kaiser"
0,NA,"OH",NA,NA,"Male",NA,NA,"February","2012","Kaiser"
1,0,"OR","Black","$20,000-$40,000","Male","45-64","some college","February","2012","Kaiser"
0,0,"IL","White","$75,000+","Female","30-44","postgraduate","February","2012","Kaiser"
NA,0,"PA","White","$20,000-$40,000","Female","45-64","some college","February","2012","Kaiser"
0,1,"CA","White","$40,000-$75,000","Male","65+","postgraduate","February","2012","Kaiser"
NA,0,"AL","White","$20,000-$40,000","Female","65+","high school graduate","February","2012","Kaiser"
1,0,"NC","White","less than $20,000","Female","65+","some college","February","2012","Kaiser"
0,0,"AR","White","less than $20,000","Male","45-64","high school graduate","February","2012","Kaiser"
NA,0,"TX","White",NA,"Female","45-64","high school graduate","February","2012","Kaiser"
NA,NA,"ID","White","less than $20,000","Female","65+","high school graduate","February","2012","Kaiser"
0,0,"AZ","White","$20,000-$40,000","Female","45-64","high school graduate","February","2012","Kaiser"
NA,0,"HI","Other","$75,000+","Female","45-64","some college","February","2012","Kaiser"
0,0,"AK","White","$40,000-$75,000","Female","45-64","some college","February","2012","Kaiser"
0,0,"CA","White",NA,"Female","65+","high school graduate","February","2012","Kaiser"
0,0,"KY","White","less than $20,000","Male","45-64","high school graduate","February","2012","Kaiser"
0,0,"IN","White","$20,000-$40,000","Female","45-64","high school graduate","February","2012","Kaiser"
NA,0,"CO","White","less than $20,000","Male","45-64","high school graduate","February","2012","Kaiser"
NA,1,"CA","Hispanic","$40,000-$75,000","Male","18-29","some college","February","2012","Kaiser"
0,1,"OH","White","$40,000-$75,000","Female","30-44","college graduate","February","2012","Kaiser"
NA,NA,"MT","White","$20,000-$40,000","Female","65+","some college","February","2012","Kaiser"
0,NA,"MN","White","$75,000+","Male","18-29","high school graduate","February","2012","Kaiser"
0,0,"IL","White","less than $20,000","Female","45-64","high school graduate","February","2012","Kaiser"
1,1,"MI","White","less than $20,000","Male","30-44","less than a high school education","February","2012","Kaiser"
NA,NA,"MI","Hispanic","$20,000-$40,000","Male","18-29","less than a high school education","February","2012","Kaiser"
NA,NA,"MI","White","$20,000-$40,000","Male","45-64","less than a high school education","February","2012","Kaiser"
NA,0,"FL","White","less than $20,000","Female","18-29","high school graduate","February","2012","Kaiser"
1,1,"NC","Black",NA,"Female","18-29","high school graduate","February","2012","Kaiser"
0,0,"NY","White","$75,000+","Male","30-44","high school graduate","February","2012","Kaiser"
1,1,"OH","White","$75,000+","Female","45-64","high school graduate","February","2012","Kaiser"
1,0,"MD","Black","$75,000+","Male","18-29","high school graduate","February","2012","Kaiser"
NA,0,"OH","Black","less than $20,000","Female","30-44","high school graduate","February","2012","Kaiser"
1,0,"GA","White","less than $20,000","Female","45-64","some college","February","2012","Kaiser"
NA,NA,"WV","White",NA,"Male","18-29","some college","February","2012","Kaiser"
NA,1,"GA","White","$20,000-$40,000","Male","18-29","less than a high school education","February","2012","Kaiser"
NA,NA,"TX","Hispanic",NA,"Male","18-29","high school graduate","February","2012","Kaiser"
1,1,"AZ","White","$20,000-$40,000","Female","45-64","some college","February","2012","Kaiser"
1,1,"CA","Black","$20,000-$40,000","Male","65+","college graduate","February","2012","Kaiser"
NA,0,"TX","Hispanic","$20,000-$40,000","Male","18-29","some college","February","2012","Kaiser"
1,1,"NY","White","$40,000-$75,000","Female","65+","college graduate","February","2012","Kaiser"
1,0,"FL","White","$75,000+","Female","65+","postgraduate","February","2012","Kaiser"
1,0,"MD","Hispanic","$20,000-$40,000","Male","30-44","less than a high school education","February","2012","Kaiser"
1,0,"PA","White","$20,000-$40,000","Male","65+","less than a high school education","February","2012","Kaiser"
0,NA,"CA","Hispanic","less than $20,000","Female","65+","less than a high school education","February","2012","Kaiser"
0,1,"FL","White","$75,000+","Female","45-64","college graduate","February","2012","Kaiser"
1,1,"TX","Black","$20,000-$40,000","Male","45-64","high school graduate","February","2012","Kaiser"
1,0,"GA","White",NA,"Female","45-64","postgraduate","February","2012","Kaiser"
1,1,"MI","White","$40,000-$75,000","Male","30-44","college graduate","February","2012","Kaiser"
0,1,"NJ","White","$75,000+","Female","18-29","some college","February","2012","Kaiser"
NA,0,"IN","White","$75,000+","Female","30-44","college graduate","February","2012","Kaiser"
0,0,"ID","White","$75,000+","Female","65+","postgraduate","February","2012","Kaiser"
1,0,"CA","Hispanic",NA,"Female","18-29","high school graduate","February","2012","Kaiser"
1,0,"CA","White","$40,000-$75,000","Female","65+","college graduate","February","2012","Kaiser"
1,0,"CA","White","less than $20,000","Female","65+","postgraduate","February","2012","Kaiser"
0,1,"PA","White","$20,000-$40,000","Female","65+","high school graduate","February","2012","Kaiser"
1,0,"PA","White","less than $20,000","Male","45-64","high school graduate","February","2012","Kaiser"
1,0,"CA","Hispanic","less than $20,000","Female","30-44","high school graduate","February","2012","Kaiser"
0,1,"PA",NA,"$20,000-$40,000","Female","65+","some college","February","2012","Kaiser"
1,1,"OH","Black","$20,000-$40,000","Male","18-29","some college","February","2012","Kaiser"
NA,0,"PA",NA,NA,"Male",NA,"high school graduate","February","2012","Kaiser"
1,0,"OH","White","$40,000-$75,000","Female","65+","college graduate","February","2012","Kaiser"
NA,0,"WI","White",NA,"Male","65+","high school graduate","February","2012","Kaiser"
1,0,"TX","White","less than $20,000","Male","18-29","high school graduate","February","2012","Kaiser"
0,1,"IL","White","$20,000-$40,000","Male","65+","high school graduate","February","2012","Kaiser"
0,0,"NC","Other",NA,"Male","18-29","some college","February","2012","Kaiser"
1,0,"CA","Hispanic","less than $20,000","Male","18-29","some college","February","2012","Kaiser"
0,0,"CA","White","$40,000-$75,000","Male","30-44","high school graduate","February","2012","Kaiser"
NA,0,"CA","White","less than $20,000","Female","65+","some college","February","2012","Kaiser"
1,0,"NV","Hispanic","$20,000-$40,000","Female","45-64","high school graduate","February","2012","Kaiser"
0,NA,"MO","Hispanic","$75,000+","Female","18-29","high school graduate","February","2012","Kaiser"
0,0,"PA","Hispanic","less than $20,000","Male","18-29","some college","February","2012","Kaiser"
1,0,"CA","Hispanic","less than $20,000","Female","30-44","high school graduate","February","2012","Kaiser"
0,NA,"WA","White","less than $20,000","Female","18-29","high school graduate","February","2012","Kaiser"
0,0,"OH","Hispanic","$20,000-$40,000","Female","18-29","some college","February","2012","Kaiser"
1,0,"ID","Hispanic","less than $20,000","Male","30-44","high school graduate","February","2012","Kaiser"
1,0,"TX","Hispanic","less than $20,000","Female","18-29","high school graduate","February","2012","Kaiser"
NA,0,"NV","White","less than $20,000","Male","18-29","high school graduate","February","2012","Kaiser"
1,0,"CA","Hispanic","$20,000-$40,000","Male","45-64","high school graduate","February","2012","Kaiser"
1,1,"NM","White","$20,000-$40,000","Female","30-44","some college","February","2012","Kaiser"
0,0,"CA","Hispanic","less than $20,000","Male","30-44","high school graduate","February","2012","Kaiser"
1,0,"CA","Hispanic","$20,000-$40,000","Male","30-44","high school graduate","February","2012","Kaiser"
0,NA,"ID","Hispanic","$20,000-$40,000","Female","30-44","less than a high school education","February","2012","Kaiser"
1,0,"FL","Black","$40,000-$75,000","Male","45-64","high school graduate","February","2012","Kaiser"
1,0,"NC","White","$20,000-$40,000","Female","65+","postgraduate","February","2012","Kaiser"
1,0,"NY","White","$75,000+","Female","45-64","some college","February","2012","Kaiser"
1,0,"PA","White","$75,000+","Female","30-44","high school graduate","February","2012","Kaiser"
1,0,"DE","White","$75,000+","Female","30-44","postgraduate","February","2012","Kaiser"
0,1,"NY","White","$40,000-$75,000","Female","65+","postgraduate","February","2012","Kaiser"
1,0,"GA","White","$40,000-$75,000","Female","45-64","college graduate","February","2012","Kaiser"
NA,1,"NY","White","$75,000+","Male","45-64","high school graduate","February","2012","Kaiser"
0,1,"MD","White","$75,000+","Female","65+","postgraduate","February","2012","Kaiser"
NA,0,"ME","White","$40,000-$75,000","Female","65+","some college","February","2012","Kaiser"
0,1,"NC","Hispanic","$40,000-$75,000","Male","30-44","some college","February","2012","Kaiser"
1,0,"NJ","White","$75,000+","Male","65+","college graduate","February","2012","Kaiser"
1,0,"NY","White","$75,000+","Female","45-64","postgraduate","February","2012","Kaiser"
1,0,"IN","White","$40,000-$75,000","Female","45-64","some college","February","2012","Kaiser"
0,1,"TX","White","$75,000+","Male","45-64","high school graduate","February","2012","Kaiser"
1,0,"OH","Black","$75,000+","Male","45-64","college graduate","February","2012","Kaiser"
0,0,"KS","White","$75,000+","Male","45-64","high school graduate","February","2012","Kaiser"
