"aca.fav","tea.party","state","race","income","sex","age","education","month","year","polling.org"
1,0,"GA","Black","$40,000-$75,000","Male","45-64","college graduate","March","2012","Kaiser"
0,0,"WI","White","$40,000-$75,000","Female","45-64","some college","March","2012","Kaiser"
1,0,"MA","Black","$75,000+","Female","30-44","postgraduate","March","2012","Kaiser"
NA,0,"NY","White","$20,000-$40,000","Male","45-64","high school graduate","March","2012","Kaiser"
0,0,"SC","White","less than $20,000","Female","65+","less than a high school education","March","2012","Kaiser"
0,0,"VA","Black","$75,000+","Female","45-64","some college","March","2012","Kaiser"
1,0,"DE","White","less than $20,000","Female","45-64","high school graduate","March","2012","Kaiser"
0,1,"MI","White","$75,000+","Female","65+","postgraduate","March","2012","Kaiser"
0,1,"FL","White","$75,000+","Female","45-64","college graduate","March","2012","Kaiser"
0,1,"FL","White","$75,000+","Male","45-64","college graduate","March","2012","Kaiser"
1,0,"MI","Black","$40,000-$75,000","Female","45-64","high school graduate","March","2012","Kaiser"
0,1,"NC","White","$75,000+","Female","65+","some college","March","2012","Kaiser"
0,0,"NY","White","$75,000+","Male","65+","postgraduate","March","2012","Kaiser"
0,0,"FL","White","$20,000-$40,000","Female","45-64","high school graduate","March","2012","Kaiser"
0,0,"PA","White",NA,"Female","45-64","postgraduate","March","2012","Kaiser"
0,0,"IL","White",NA,"Female","45-64","some college","March","2012","Kaiser"
1,0,"NC","Black","less than $20,000","Female","65+","less than a high school education","March","2012","Kaiser"
NA,0,"PA","Black","less than $20,000","Female","18-29","high school graduate","March","2012","Kaiser"
NA,0,"FL","White","$40,000-$75,000","Female","18-29","some college","March","2012","Kaiser"
NA,0,"SC","White","$40,000-$75,000","Female","30-44","some college","March","2012","Kaiser"
0,0,"IN","White","$40,000-$75,000","Female","45-64","some college","March","2012","Kaiser"
1,0,"RI","White","$40,000-$75,000","Female","65+","postgraduate","March","2012","Kaiser"
0,1,"PA","White","$20,000-$40,000","Male","45-64","high school graduate","March","2012","Kaiser"
1,0,"GA",NA,NA,"Female","30-44",NA,"March","2012","Kaiser"
0,1,"FL",NA,NA,"Female","45-64","some college","March","2012","Kaiser"
0,1,"FL","White",NA,"Male","65+","some college","March","2012","Kaiser"
0,NA,"FL",NA,NA,"Male",NA,NA,"March","2012","Kaiser"
NA,0,"IL","White","less than $20,000","Male","45-64","some college","March","2012","Kaiser"
1,0,"PA","Black","less than $20,000","Male","45-64","some college","March","2012","Kaiser"
1,0,"ME","White","$75,000+","Male","45-64","college graduate","March","2012","Kaiser"
0,1,"NC","White","$40,000-$75,000","Female","65+","some college","March","2012","Kaiser"
0,0,"ME","White","$75,000+","Male","30-44","college graduate","March","2012","Kaiser"
0,1,"NC","White","$40,000-$75,000","Male","65+","postgraduate","March","2012","Kaiser"
0,1,"NC","White",NA,"Male","65+","some college","March","2012","Kaiser"
0,1,"FL","White",NA,"Female","45-64","some college","March","2012","Kaiser"
0,1,"IL","White","$75,000+","Male","45-64","college graduate","March","2012","Kaiser"
NA,0,"SC","Black","$20,000-$40,000","Male","30-44","some college","March","2012","Kaiser"
0,1,"OH","White","$75,000+","Male","30-44","college graduate","March","2012","Kaiser"
1,0,"MD","White","$75,000+","Female","45-64","college graduate","March","2012","Kaiser"
0,0,"SC","White","$75,000+","Male","45-64","college graduate","March","2012","Kaiser"
0,0,"TN","White","$40,000-$75,000","Female","45-64","postgraduate","March","2012","Kaiser"
NA,0,"KY","White","$40,000-$75,000","Male","30-44","some college","March","2012","Kaiser"
NA,0,"KY","Black","$40,000-$75,000","Male","45-64","high school graduate","March","2012","Kaiser"
1,0,"SC","White","$20,000-$40,000","Female","65+","college graduate","March","2012","Kaiser"
NA,0,"FL","White","$20,000-$40,000","Female","45-64","some college","March","2012","Kaiser"
1,0,"GA","White","$40,000-$75,000","Male","45-64","postgraduate","March","2012","Kaiser"
0,1,"NJ","White",NA,"Male","45-64","high school graduate","March","2012","Kaiser"
1,0,"MA","White",NA,"Male","45-64","college graduate","March","2012","Kaiser"
0,1,"FL","White","$40,000-$75,000","Male","65+","postgraduate","March","2012","Kaiser"
0,0,"MI","White","$75,000+","Male","30-44","college graduate","March","2012","Kaiser"
0,NA,"IN",NA,NA,"Male","45-64",NA,"March","2012","Kaiser"
