"aca.fav","tea.party","state","race","income","sex","age","education","month","year","polling.org"
1,0,"PA","White",NA,"Female","30-44","high school graduate","January","2012","Kaiser"
0,0,"CT","White","less than $20,000","Female","45-64","some college","January","2012","Kaiser"
0,0,"MS","White","less than $20,000","Female","65+","less than a high school education","January","2012","Kaiser"
1,0,"MA","White",NA,"Female","45-64","postgraduate","January","2012","Kaiser"
0,0,"CA","White","$40,000-$75,000","Female","65+","college graduate","January","2012","Kaiser"
NA,0,"NC","Black","$20,000-$40,000","Male","45-64","high school graduate","January","2012","Kaiser"
0,0,"VA","White","$40,000-$75,000","Female","45-64","some college","January","2012","Kaiser"
0,1,"PA","White","$20,000-$40,000","Female","65+","some college","January","2012","Kaiser"
0,NA,"IL","White","$75,000+","Male","45-64","some college","January","2012","Kaiser"
NA,NA,"FL",NA,NA,"Male","30-44",NA,"January","2012","Kaiser"
1,0,"GA","White",NA,"Male","45-64","postgraduate","January","2012","Kaiser"
1,0,"IA","White",NA,"Male","45-64","high school graduate","January","2012","Kaiser"
0,1,"NV","White","less than $20,000","Female","65+","high school graduate","January","2012","Kaiser"
1,0,"MD","Other","$20,000-$40,000","Male","65+","some college","January","2012","Kaiser"
0,0,"CA","White","less than $20,000","Female","65+","college graduate","January","2012","Kaiser"
0,1,"CA","White","$40,000-$75,000","Female","65+","some college","January","2012","Kaiser"
1,0,"MN","White","$20,000-$40,000","Female","45-64","high school graduate","January","2012","Kaiser"
1,0,"MN","White","$20,000-$40,000","Male","65+","high school graduate","January","2012","Kaiser"
1,0,"SD","White","$40,000-$75,000","Male","45-64","college graduate","January","2012","Kaiser"
1,0,"DC","White","$40,000-$75,000","Male","30-44","college graduate","January","2012","Kaiser"
1,0,"NJ","Hispanic","$20,000-$40,000","Male","30-44","some college","January","2012","Kaiser"
0,0,"NY","Black","$20,000-$40,000","Female","30-44","some college","January","2012","Kaiser"
NA,1,"NY","Other","less than $20,000","Female","45-64","college graduate","January","2012","Kaiser"
0,0,"AR","White","less than $20,000","Male","45-64","high school graduate","January","2012","Kaiser"
0,0,"VA","White","$20,000-$40,000","Male","30-44","high school graduate","January","2012","Kaiser"
0,0,"MD","White","$40,000-$75,000","Female","18-29","some college","January","2012","Kaiser"
1,0,"OR","Hispanic","$40,000-$75,000","Female","45-64","postgraduate","January","2012","Kaiser"
0,1,"OR","White","$75,000+","Male","30-44","postgraduate","January","2012","Kaiser"
NA,0,"NH","White","$20,000-$40,000","Male","45-64","high school graduate","January","2012","Kaiser"
1,1,"FL","Black","$20,000-$40,000","Female","45-64","less than a high school education","January","2012","Kaiser"
NA,NA,"OH","White","less than $20,000","Male","45-64","less than a high school education","January","2012","Kaiser"
NA,0,"IL","White",NA,"Male","65+","high school graduate","January","2012","Kaiser"
0,0,"WI","White","$75,000+","Male","65+","high school graduate","January","2012","Kaiser"
NA,0,"AR","White","$40,000-$75,000","Female","45-64","college graduate","January","2012","Kaiser"
1,0,"PA",NA,NA,"Male",NA,"postgraduate","January","2012","Kaiser"
1,0,"NJ","White","$40,000-$75,000","Female","45-64","college graduate","January","2012","Kaiser"
1,0,"IA","White","$75,000+","Male","30-44","some college","January","2012","Kaiser"
0,NA,"TN",NA,NA,"Female",NA,NA,"January","2012","Kaiser"
NA,0,"FL","White","$75,000+","Male","45-64","postgraduate","January","2012","Kaiser"
0,1,"FL","White","$75,000+","Male","30-44","some college","January","2012","Kaiser"
1,0,"MA","White",NA,"Male","30-44","postgraduate","January","2012","Kaiser"
1,1,"MO","White","$40,000-$75,000","Female","45-64","less than a high school education","January","2012","Kaiser"
1,NA,"IN",NA,NA,"Female",NA,NA,"January","2012","Kaiser"
1,0,"CA","Hispanic","less than $20,000","Male","45-64","some college","January","2012","Kaiser"
0,NA,"OH",NA,NA,"Female","18-29",NA,"January","2012","Kaiser"
1,1,"IL","White","less than $20,000","Female","18-29","less than a high school education","January","2012","Kaiser"
0,0,"OH","White","$40,000-$75,000","Male","45-64","high school graduate","January","2012","Kaiser"
NA,0,"SC",NA,NA,"Male","45-64","some college","January","2012","Kaiser"
1,0,"WI","White",NA,"Female","45-64","some college","January","2012","Kaiser"
0,1,"IN","White","$75,000+","Male","65+","postgraduate","January","2012","Kaiser"
0,0,"MS","Black",NA,"Female","65+","less than a high school education","January","2012","Kaiser"
1,1,"MS","Black","less than $20,000","Male","18-29","high school graduate","January","2012","Kaiser"
1,0,"GA","Black","$75,000+","Female","45-64","high school graduate","January","2012","Kaiser"
1,0,"TX","White","$75,000+","Female","45-64","postgraduate","January","2012","Kaiser"
NA,0,"CO","White","$20,000-$40,000","Female","65+","some college","January","2012","Kaiser"
0,0,"CA","Other","$40,000-$75,000","Male","18-29","postgraduate","January","2012","Kaiser"
0,0,"RI","Hispanic","$20,000-$40,000","Male","30-44","high school graduate","January","2012","Kaiser"
0,0,"PA","Hispanic","$20,000-$40,000","Female","30-44","some college","January","2012","Kaiser"
1,0,"MA","Hispanic","$40,000-$75,000","Female","30-44","high school graduate","January","2012","Kaiser"
0,0,"NJ","Hispanic","$40,000-$75,000","Male","18-29","high school graduate","January","2012","Kaiser"
0,0,"NY","White",NA,"Male","45-64","high school graduate","January","2012","Kaiser"
0,0,"OR","Hispanic","$20,000-$40,000","Male","30-44","less than a high school education","January","2012","Kaiser"
NA,0,"VA","Black",NA,"Female","45-64",NA,"January","2012","Kaiser"
0,0,"AZ","Hispanic","$40,000-$75,000","Male","45-64","some college","January","2012","Kaiser"
1,0,"RI","Hispanic","$20,000-$40,000","Female","45-64","less than a high school education","January","2012","Kaiser"
NA,0,"NV","Hispanic","less than $20,000","Female","18-29","less than a high school education","January","2012","Kaiser"
0,0,"CA","Hispanic","$20,000-$40,000","Female","18-29","high school graduate","January","2012","Kaiser"
NA,0,"OH","White",NA,"Female","65+","some college","January","2012","Kaiser"
NA,0,"NC","Black","$20,000-$40,000","Female","18-29","college graduate","January","2012","Kaiser"
NA,0,"TX","White","$20,000-$40,000","Female","45-64","less than a high school education","January","2012","Kaiser"
0,0,"CO","White","$40,000-$75,000","Male","65+","some college","January","2012","Kaiser"
0,1,"IA","White","$40,000-$75,000","Female","65+","some college","January","2012","Kaiser"
1,0,"WA","White","less than $20,000","Female","65+","high school graduate","January","2012","Kaiser"
NA,1,"AL","White",NA,"Female","45-64","some college","January","2012","Kaiser"
NA,0,"CA",NA,"less than $20,000","Male","45-64","high school graduate","January","2012","Kaiser"
1,0,"AL","White","less than $20,000","Female","65+","some college","January","2012","Kaiser"
0,0,"PA","Hispanic","$20,000-$40,000","Female","30-44","less than a high school education","January","2012","Kaiser"
1,0,"TX","Hispanic","$20,000-$40,000","Female","30-44","less than a high school education","January","2012","Kaiser"
NA,0,"CA","White","less than $20,000","Male","65+","less than a high school education","January","2012","Kaiser"
0,0,"NY","Hispanic","$20,000-$40,000","Female","18-29","less than a high school education","January","2012","Kaiser"
0,0,"NY","Hispanic","$20,000-$40,000","Male","30-44","some college","January","2012","Kaiser"
