"aca.fav","tea.party","state","race","income","sex","age","education","month","year","polling.org"
0,1,"NY","Hispanic","less than $20,000","Male","18-29","high school graduate","October","2013","Kaiser"
1,0,"MD","White","$75,000+","Male","45-64","some college","October","2013","Kaiser"
0,0,"NC","White",NA,"Male","45-64","some college","October","2013","Kaiser"
0,0,"PA","White","$75,000+","Female","18-29","college graduate","October","2013","Kaiser"
1,0,"NY","White","$75,000+","Male","45-64","postgraduate","October","2013","Kaiser"
1,0,"GA","Black",NA,"Female","65+","postgraduate","October","2013","Kaiser"
1,NA,"FL","White",NA,"Female","65+","some college","October","2013","Kaiser"
0,0,"NC","White","$75,000+","Female","65+","some college","October","2013","Kaiser"
1,0,"GA","Black","$40,000-$75,000","Male","30-44","some college","October","2013","Kaiser"
1,1,"WV","White","less than $20,000","Female","65+","some college","October","2013","Kaiser"
1,0,"NC","White","less than $20,000","Male","65+","high school graduate","October","2013","Kaiser"
1,0,"MA","White","$40,000-$75,000","Male","65+","some college","October","2013","Kaiser"
0,0,"IN","White","$20,000-$40,000","Female","65+","college graduate","October","2013","Kaiser"
0,1,"MA","White","$40,000-$75,000","Male","45-64","postgraduate","October","2013","Kaiser"
NA,0,"PA","White","$20,000-$40,000","Male","30-44","high school graduate","October","2013","Kaiser"
0,0,"PA","White","$40,000-$75,000","Female","45-64","some college","October","2013","Kaiser"
0,0,"CT","White",NA,"Female","65+","high school graduate","October","2013","Kaiser"
1,0,"NY","White","$75,000+","Female","45-64","postgraduate","October","2013","Kaiser"
0,1,"MN","White","$40,000-$75,000","Female","45-64","college graduate","October","2013","Kaiser"
0,0,"MI","White","$20,000-$40,000","Male","65+","some college","October","2013","Kaiser"
0,NA,"KS","White","$20,000-$40,000","Female","65+","college graduate","October","2013","Kaiser"
0,NA,"KS","White","less than $20,000","Male","65+","some college","October","2013","Kaiser"
0,1,"RI","White","$40,000-$75,000","Male","45-64","less than a high school education","October","2013","Kaiser"
0,0,"IN","White","$75,000+","Female","45-64","high school graduate","October","2013","Kaiser"
0,1,"LA","White","$75,000+","Female","30-44","college graduate","October","2013","Kaiser"
0,1,"TX","White",NA,"Female","65+","high school graduate","October","2013","Kaiser"
0,0,"IL","White",NA,"Male","45-64","postgraduate","October","2013","Kaiser"
1,0,"MN","White",NA,"Male","45-64","some college","October","2013","Kaiser"
1,0,"PA","White",NA,"Female","65+","college graduate","October","2013","Kaiser"
0,0,"IL","White","$40,000-$75,000","Female","45-64","some college","October","2013","Kaiser"
0,1,"NJ","White","$20,000-$40,000","Male","65+","high school graduate","October","2013","Kaiser"
0,1,"NY","White","$75,000+","Female","45-64","postgraduate","October","2013","Kaiser"
0,0,"NJ","White",NA,"Male","45-64","some college","October","2013","Kaiser"
1,0,"MN","White","$20,000-$40,000","Female","65+","high school graduate","October","2013","Kaiser"
1,0,"NY","White","$75,000+","Female","45-64","college graduate","October","2013","Kaiser"
1,0,"KS","White","$20,000-$40,000","Male","65+","college graduate","October","2013","Kaiser"
0,1,"NC","White","$40,000-$75,000","Female","65+","some college","October","2013","Kaiser"
1,0,"NY","White",NA,"Male","45-64","high school graduate","October","2013","Kaiser"
1,0,"IL","White",NA,"Female","65+","high school graduate","October","2013","Kaiser"
1,0,"NC","White","$20,000-$40,000","Male","45-64","some college","October","2013","Kaiser"
0,0,"IA","White","$40,000-$75,000","Male","65+","high school graduate","October","2013","Kaiser"
0,0,"FL","Other","$75,000+","Male","30-44","postgraduate","October","2013","Kaiser"
0,0,"WI","White",NA,"Female","45-64","college graduate","October","2013","Kaiser"
0,1,"TX","White",NA,"Female","65+","some college","October","2013","Kaiser"
1,0,"MN","White","$75,000+","Male","65+","high school graduate","October","2013","Kaiser"
0,0,"MS","White","$20,000-$40,000","Female","45-64","high school graduate","October","2013","Kaiser"
0,0,"VA","White","$20,000-$40,000","Male","45-64","college graduate","October","2013","Kaiser"
1,0,"PA","White","$75,000+","Male","45-64","some college","October","2013","Kaiser"
1,0,"LA","Hispanic","$20,000-$40,000","Female","18-29","postgraduate","October","2013","Kaiser"
1,0,"NY","Other","$40,000-$75,000","Female","30-44","postgraduate","October","2013","Kaiser"
0,0,"TX","White","$20,000-$40,000","Male","65+","some college","October","2013","Kaiser"
0,0,"LA","White",NA,"Male","65+",NA,"October","2013","Kaiser"
1,0,"FL","White",NA,"Female","65+","postgraduate","October","2013","Kaiser"
NA,0,"MD","White","$75,000+","Male","65+","postgraduate","October","2013","Kaiser"
1,0,"NJ","White","$40,000-$75,000","Male","45-64","some college","October","2013","Kaiser"
NA,0,"MI","White","less than $20,000","Male","45-64","less than a high school education","October","2013","Kaiser"
1,0,"KS","White","$75,000+","Female","45-64","high school graduate","October","2013","Kaiser"
0,1,"LA","White","$40,000-$75,000","Male","65+","high school graduate","October","2013","Kaiser"
1,0,"IN","Black","$40,000-$75,000","Female","45-64","some college","October","2013","Kaiser"
1,0,"KY","White","$40,000-$75,000","Female","45-64","college graduate","October","2013","Kaiser"
NA,NA,"CT","White",NA,"Male","65+","some college","October","2013","Kaiser"
1,0,"PA","Hispanic","$75,000+","Female","45-64","postgraduate","October","2013","Kaiser"
1,0,"IN","White","$40,000-$75,000","Male","65+","some college","October","2013","Kaiser"
1,0,"NJ","White","$75,000+","Male","45-64","some college","October","2013","Kaiser"
NA,NA,"IL","White","$20,000-$40,000","Female","65+","some college","October","2013","Kaiser"
0,0,"IL","White","$20,000-$40,000","Female","65+","some college","October","2013","Kaiser"
0,1,"SC","White","$40,000-$75,000","Female","45-64","some college","October","2013","Kaiser"
0,NA,"KY","White","$75,000+","Male","45-64","college graduate","October","2013","Kaiser"
1,0,"MA","White","$40,000-$75,000","Female","45-64","postgraduate","October","2013","Kaiser"
1,0,"MN","White","$75,000+","Male","45-64","some college","October","2013","Kaiser"
1,NA,"NM","White","less than $20,000","Female","45-64","high school graduate","October","2013","Kaiser"
0,NA,"MT","White","$75,000+","Female","30-44","postgraduate","October","2013","Kaiser"
0,1,"AR","White","less than $20,000","Female","65+","some college","October","2013","Kaiser"
0,NA,"WI","White","$40,000-$75,000","Male","65+","high school graduate","October","2013","Kaiser"
0,0,"KS","White","$75,000+","Male","45-64","college graduate","October","2013","Kaiser"
1,0,"TX","White","$40,000-$75,000","Female","65+","some college","October","2013","Kaiser"
1,NA,"MS","White","$20,000-$40,000","Female","65+","some college","October","2013","Kaiser"
0,NA,"FL","White","$20,000-$40,000","Female","65+","some college","October","2013","Kaiser"
0,1,"SC","White","$75,000+","Male","65+","college graduate","October","2013","Kaiser"
1,0,"UT","White","$20,000-$40,000","Male","65+","high school graduate","October","2013","Kaiser"
1,0,"VA","White","$75,000+","Female","65+","college graduate","October","2013","Kaiser"
0,1,"OH","White","$40,000-$75,000","Male","65+","high school graduate","October","2013","Kaiser"
0,1,"TX","White","$40,000-$75,000","Female","65+","high school graduate","October","2013","Kaiser"
0,1,"NH","Black","$20,000-$40,000","Male","65+","some college","October","2013","Kaiser"
1,0,"PA","Black",NA,"Female","45-64","postgraduate","October","2013","Kaiser"
0,0,"VA","White",NA,"Female","45-64","college graduate","October","2013","Kaiser"
1,0,"NC","Black","$40,000-$75,000","Male","65+","some college","October","2013","Kaiser"
NA,NA,"NM","Other","$20,000-$40,000","Male","30-44","some college","October","2013","Kaiser"
1,0,"NC","Black","$40,000-$75,000","Female","45-64","high school graduate","October","2013","Kaiser"
NA,0,"CO","White","$40,000-$75,000","Female","65+","postgraduate","October","2013","Kaiser"
NA,0,"CT","White","$40,000-$75,000","Male","45-64","high school graduate","October","2013","Kaiser"
1,0,"KY","White","less than $20,000","Female","45-64","some college","October","2013","Kaiser"
1,0,"WV","White","$20,000-$40,000","Male","45-64","high school graduate","October","2013","Kaiser"
0,0,"NY","White","$40,000-$75,000","Female","45-64","high school graduate","October","2013","Kaiser"
0,0,"GA","Black","$20,000-$40,000","Female","30-44","some college","October","2013","Kaiser"
0,0,"PA","White","$75,000+","Female","45-64","postgraduate","October","2013","Kaiser"
0,0,"MD","White","$75,000+","Female","45-64","college graduate","October","2013","Kaiser"
1,0,"MI","White","$40,000-$75,000","Female","45-64","high school graduate","October","2013","Kaiser"
0,1,"NC","White","$20,000-$40,000","Male","65+","high school graduate","October","2013","Kaiser"
1,0,"GA","White","less than $20,000","Female","65+","high school graduate","October","2013","Kaiser"
NA,0,"PA","White","$75,000+","Female","45-64","some college","October","2013","Kaiser"
0,0,"RI","White","$40,000-$75,000","Male","45-64","less than a high school education","October","2013","Kaiser"
0,1,"TX","White",NA,"Male","65+","less than a high school education","October","2013","Kaiser"
0,0,"UT","White","$40,000-$75,000","Female","65+","high school graduate","October","2013","Kaiser"
0,0,"MA","White","$40,000-$75,000","Female","45-64","college graduate","October","2013","Kaiser"
0,0,"IL","White","$75,000+","Male","18-29","postgraduate","October","2013","Kaiser"
1,0,"WI","White","less than $20,000","Male","65+","some college","October","2013","Kaiser"
0,0,"TX","White","$75,000+","Female","45-64","some college","October","2013","Kaiser"
1,0,"MN","White","$75,000+","Female","30-44","postgraduate","October","2013","Kaiser"
1,0,"VA","White","$75,000+","Female","30-44","postgraduate","October","2013","Kaiser"
1,0,"MO","White","$20,000-$40,000","Female","65+","college graduate","October","2013","Kaiser"
1,0,"MI","White",NA,"Female","45-64","postgraduate","October","2013","Kaiser"
1,0,"AZ","White",NA,"Female","65+","postgraduate","October","2013","Kaiser"
1,0,"AZ","White","$40,000-$75,000","Male","45-64","postgraduate","October","2013","Kaiser"
1,0,"CA","White","$75,000+","Female","45-64","postgraduate","October","2013","Kaiser"
0,1,"WI","White","$75,000+","Male","65+","some college","October","2013","Kaiser"
1,1,"CA","White","$75,000+","Male","65+","college graduate","October","2013","Kaiser"
1,0,"NY","White","$40,000-$75,000","Male","45-64","postgraduate","October","2013","Kaiser"
NA,0,"MT","White","less than $20,000","Male","65+","some college","October","2013","Kaiser"
0,1,"NV","White","$40,000-$75,000","Male","45-64","college graduate","October","2013","Kaiser"
0,0,"AZ","White","$40,000-$75,000","Male","65+","high school graduate","October","2013","Kaiser"
0,0,"SC","Black","$40,000-$75,000","Female","30-44","some college","October","2013","Kaiser"
1,0,"GA","White","$20,000-$40,000","Female","45-64","postgraduate","October","2013","Kaiser"
0,NA,"FL","Black","less than $20,000","Male","65+","some college","October","2013","Kaiser"
1,0,"AZ","White","$75,000+","Female","45-64","postgraduate","October","2013","Kaiser"
1,0,"IL","White","$75,000+","Female","45-64","college graduate","October","2013","Kaiser"
NA,NA,"TN","White","$20,000-$40,000","Female","65+","less than a high school education","October","2013","Kaiser"
NA,0,"UT","White",NA,"Female","65+","college graduate","October","2013","Kaiser"
0,0,"AZ","White","less than $20,000","Female","45-64","some college","October","2013","Kaiser"
1,0,"CT","Black","$40,000-$75,000","Female","45-64","postgraduate","October","2013","Kaiser"
1,0,"CA","White","$75,000+","Female","65+","some college","October","2013","Kaiser"
1,0,"FL","White","$40,000-$75,000","Male","45-64","postgraduate","October","2013","Kaiser"
0,0,"OH","White","less than $20,000","Female","45-64","college graduate","October","2013","Kaiser"
NA,0,"NJ","White","$40,000-$75,000","Female","65+","postgraduate","October","2013","Kaiser"
0,1,"MI","White","$75,000+","Male","65+","some college","October","2013","Kaiser"
NA,0,"IN","White","$40,000-$75,000","Male","65+","less than a high school education","October","2013","Kaiser"
1,1,"NC","White","$40,000-$75,000","Female","65+","some college","October","2013","Kaiser"
0,0,"CT","White","$40,000-$75,000","Male","65+","high school graduate","October","2013","Kaiser"
NA,0,"CA","White",NA,"Male","65+","less than a high school education","October","2013","Kaiser"
NA,NA,"CA","White","$40,000-$75,000","Female","45-64","postgraduate","October","2013","Kaiser"
0,NA,"CA","Hispanic",NA,"Female","45-64","some college","October","2013","Kaiser"
1,NA,"MI","White","$75,000+","Female","30-44","some college","October","2013","Kaiser"
0,0,"OR","White",NA,"Female","45-64","some college","October","2013","Kaiser"
1,0,"NY","White","$75,000+","Male","30-44","postgraduate","October","2013","Kaiser"
1,0,"WA","White","less than $20,000","Male","45-64","some college","October","2013","Kaiser"
0,1,"FL","White","$75,000+","Female","65+","some college","October","2013","Kaiser"
0,0,"WI","White",NA,"Male","65+","college graduate","October","2013","Kaiser"
0,0,"CA","White","less than $20,000","Female","45-64","some college","October","2013","Kaiser"
1,0,"MA","White",NA,"Female","65+","high school graduate","October","2013","Kaiser"
1,0,"NV","White","less than $20,000","Female","65+","some college","October","2013","Kaiser"
0,0,"OR",NA,"$40,000-$75,000","Male","65+","college graduate","October","2013","Kaiser"
1,0,"CA","Black","$75,000+","Female","45-64","college graduate","October","2013","Kaiser"
0,0,"CA","White","$40,000-$75,000","Male","65+","postgraduate","October","2013","Kaiser"
0,1,"WA","White","$40,000-$75,000","Male","65+","college graduate","October","2013","Kaiser"
NA,0,"CA","Hispanic","less than $20,000","Female","65+","high school graduate","October","2013","Kaiser"
1,0,"CA","White","$20,000-$40,000","Male","65+","college graduate","October","2013","Kaiser"
NA,NA,"NV","Hispanic","$20,000-$40,000","Male","45-64","high school graduate","October","2013","Kaiser"
1,0,"CA","White","$40,000-$75,000","Female","65+","college graduate","October","2013","Kaiser"
1,0,"CA","White","$75,000+","Female","45-64","some college","October","2013","Kaiser"
0,NA,"OR","White","$20,000-$40,000","Female","65+","high school graduate","October","2013","Kaiser"
1,0,"NM","Hispanic",NA,"Female","65+","less than a high school education","October","2013","Kaiser"
NA,0,"TX","White",NA,"Male","45-64","high school graduate","October","2013","Kaiser"
0,1,"OK","White","$20,000-$40,000","Male","65+","some college","October","2013","Kaiser"
NA,1,"TX","Hispanic","$20,000-$40,000","Male","18-29","high school graduate","October","2013","Kaiser"
0,0,"IL","White","$40,000-$75,000","Female","45-64","some college","October","2013","Kaiser"
0,1,"LA",NA,NA,"Male","45-64","postgraduate","October","2013","Kaiser"
0,0,"IL","White","$75,000+","Female","45-64","college graduate","October","2013","Kaiser"
1,0,"WI","White","$75,000+","Female","45-64","some college","October","2013","Kaiser"
1,0,"MN","White","$75,000+","Male","45-64","postgraduate","October","2013","Kaiser"
1,0,"WI","White","$75,000+","Female","30-44","some college","October","2013","Kaiser"
0,0,"HI","White",NA,"Female",NA,"some college","October","2013","Kaiser"
0,0,"AK","White","$40,000-$75,000","Male","45-64","college graduate","October","2013","Kaiser"
0,1,"AK","White","$75,000+","Male","45-64","college graduate","October","2013","Kaiser"
1,1,"AK","Hispanic","$40,000-$75,000","Female","18-29","some college","October","2013","Kaiser"
0,1,"HI","White","$75,000+","Male","65+","college graduate","October","2013","Kaiser"
0,1,"AK","White","$40,000-$75,000","Female","30-44","postgraduate","October","2013","Kaiser"
0,1,"IN","White","$75,000+","Female","45-64","some college","October","2013","Kaiser"
0,0,"TX","White","$75,000+","Male","65+","college graduate","October","2013","Kaiser"
1,0,"WA","White","$75,000+","Female","45-64","high school graduate","October","2013","Kaiser"
0,NA,"WA","Other","$75,000+","Female","45-64","postgraduate","October","2013","Kaiser"
