"aca.fav","tea.party","state","race","income","sex","age","education","month","year","polling.org"
1,0,"MD","Other","$75,000+","Male","45-64","some college","October","2012","Kaiser"
NA,0,"GA","Black","less than $20,000","Male","45-64","high school graduate","October","2012","Kaiser"
0,1,"ID","White","$20,000-$40,000","Male","65+","less than a high school education","October","2012","Kaiser"
0,0,"TX","White","$75,000+","Female","30-44","college graduate","October","2012","Kaiser"
0,1,"CA","White","$20,000-$40,000","Female","45-64","high school graduate","October","2012","Kaiser"
0,0,"LA","White","less than $20,000","Male","45-64","less than a high school education","October","2012","Kaiser"
1,0,"WV","White","less than $20,000","Male","18-29","some college","October","2012","Kaiser"
1,1,"NY","White","$40,000-$75,000","Female","30-44","college graduate","October","2012","Kaiser"
0,1,"ID","White","less than $20,000","Male","18-29","high school graduate","October","2012","Kaiser"
0,1,"MS","White","$75,000+","Male","30-44","college graduate","October","2012","Kaiser"
1,0,"WA","White","less than $20,000","Male","18-29","college graduate","October","2012","Kaiser"
1,0,"FL","White","$20,000-$40,000","Female","45-64","college graduate","October","2012","Kaiser"
0,1,"CO","White",NA,"Male","65+","college graduate","October","2012","Kaiser"
NA,1,"NM","Hispanic","$20,000-$40,000","Male","18-29","college graduate","October","2012","Kaiser"
1,0,"WI","White","$75,000+","Female","45-64","some college","October","2012","Kaiser"
1,0,"HI","Hispanic","$75,000+","Female","45-64","college graduate","October","2012","Kaiser"
0,0,"MS","White","$40,000-$75,000","Male","45-64","some college","October","2012","Kaiser"
1,0,"TX","White","$20,000-$40,000","Female","45-64","college graduate","October","2012","Kaiser"
NA,0,"CA","White","less than $20,000","Female","18-29","college graduate","October","2012","Kaiser"
1,0,"IL","Hispanic","$20,000-$40,000","Male","65+","less than a high school education","October","2012","Kaiser"
1,0,"CA","Hispanic","$75,000+","Male","65+","college graduate","October","2012","Kaiser"
0,1,"CO","White","$40,000-$75,000","Male","30-44","college graduate","October","2012","Kaiser"
NA,1,"CA","White","$20,000-$40,000","Female","45-64","some college","October","2012","Kaiser"
0,1,"TX","White","$20,000-$40,000","Female","45-64","high school graduate","October","2012","Kaiser"
1,0,"SD","White",NA,"Female","65+","high school graduate","October","2012","Kaiser"
1,0,"CA","White",NA,"Male","30-44","postgraduate","October","2012","Kaiser"
NA,NA,"TX","White","$75,000+","Female","30-44","college graduate","October","2012","Kaiser"
1,0,"TX","White","less than $20,000","Male","18-29","high school graduate","October","2012","Kaiser"
0,0,"AZ","White","$40,000-$75,000","Female","65+","college graduate","October","2012","Kaiser"
1,0,"TX","Black","$75,000+","Male","30-44","high school graduate","October","2012","Kaiser"
0,0,"UT","White","$40,000-$75,000","Male","30-44","high school graduate","October","2012","Kaiser"
1,0,"TX","Black","$75,000+","Female","30-44","postgraduate","October","2012","Kaiser"
0,0,"CA","Hispanic","$75,000+","Female","45-64","some college","October","2012","Kaiser"
1,0,"CA","White",NA,"Male","18-29","some college","October","2012","Kaiser"
NA,NA,"WA","White","$40,000-$75,000","Male","65+","high school graduate","October","2012","Kaiser"
1,0,"WA","White","$20,000-$40,000","Female","18-29","less than a high school education","October","2012","Kaiser"
NA,0,"CA","White",NA,"Male","45-64","postgraduate","October","2012","Kaiser"
1,0,"MS","Black","$20,000-$40,000","Female","45-64","high school graduate","October","2012","Kaiser"
0,1,"MI","Other","$20,000-$40,000","Male","45-64","less than a high school education","October","2012","Kaiser"
0,0,"IL","White",NA,"Female","30-44","postgraduate","October","2012","Kaiser"
0,0,"AL","White","$40,000-$75,000","Male","30-44","some college","October","2012","Kaiser"
0,0,"NC","White","$75,000+","Female","45-64","postgraduate","October","2012","Kaiser"
0,0,"TN",NA,NA,"Male","45-64","postgraduate","October","2012","Kaiser"
0,0,"AZ","White","$75,000+","Male","45-64","college graduate","October","2012","Kaiser"
0,0,"UT","White","$40,000-$75,000","Female","18-29","postgraduate","October","2012","Kaiser"
1,0,"CA","White","$40,000-$75,000","Female","45-64","college graduate","October","2012","Kaiser"
NA,0,"AZ","White","$75,000+","Male","30-44","postgraduate","October","2012","Kaiser"
1,0,"OR","White","$40,000-$75,000","Female","18-29","postgraduate","October","2012","Kaiser"
1,0,"CO","White","$75,000+","Male","45-64","postgraduate","October","2012","Kaiser"
1,0,"CA","White","$40,000-$75,000","Male","45-64","high school graduate","October","2012","Kaiser"
NA,0,"CA","Hispanic","$40,000-$75,000","Male","45-64","high school graduate","October","2012","Kaiser"
0,0,"AZ","White","$75,000+","Female","45-64","college graduate","October","2012","Kaiser"
0,1,"OR","White","$40,000-$75,000","Female","45-64","less than a high school education","October","2012","Kaiser"
0,0,"WA","Black","$40,000-$75,000","Female","30-44","some college","October","2012","Kaiser"
1,0,"CA","Hispanic","$20,000-$40,000","Male","18-29","college graduate","October","2012","Kaiser"
NA,NA,"CA","White","$20,000-$40,000","Male","65+","some college","October","2012","Kaiser"
0,1,"CA","Hispanic","$40,000-$75,000","Male","30-44","some college","October","2012","Kaiser"
NA,0,"WA","White","$40,000-$75,000","Female","45-64","postgraduate","October","2012","Kaiser"
1,0,"CA","White","$20,000-$40,000","Female","30-44","college graduate","October","2012","Kaiser"
1,0,"HI","White","$40,000-$75,000","Male","30-44","less than a high school education","October","2012","Kaiser"
1,0,"FL","Black","$20,000-$40,000","Female","30-44","some college","October","2012","Kaiser"
0,0,"VA","White","$40,000-$75,000","Male","65+","college graduate","October","2012","Kaiser"
0,0,"IL",NA,"$75,000+","Female","18-29","college graduate","October","2012","Kaiser"
0,1,"GA","Black","$20,000-$40,000","Male","30-44","high school graduate","October","2012","Kaiser"
1,0,"DC","White","$40,000-$75,000","Female","30-44","postgraduate","October","2012","Kaiser"
1,0,"TN","White","$40,000-$75,000","Male","18-29","some college","October","2012","Kaiser"
NA,NA,"OH","White","less than $20,000","Female","65+","less than a high school education","October","2012","Kaiser"
0,0,"IL","Hispanic","less than $20,000","Female","18-29","college graduate","October","2012","Kaiser"
0,0,"WV","Hispanic","$75,000+","Male","45-64","postgraduate","October","2012","Kaiser"
NA,0,"MA","White","$75,000+","Male","18-29","high school graduate","October","2012","Kaiser"
1,0,"NY","Other","$40,000-$75,000","Male","18-29","college graduate","October","2012","Kaiser"
1,0,"MA","White","$75,000+","Male","30-44","college graduate","October","2012","Kaiser"
