"aca.fav","tea.party","state","race","income","sex","age","education","month","year","polling.org"
1,NA,"NC","White","$75,000+","Female","45-64","some college","November","2012","Kaiser"
1,0,"FL","White",NA,"Male","18-29","college graduate","November","2012","Kaiser"
0,1,"AR","White","$20,000-$40,000","Male","45-64","college graduate","November","2012","Kaiser"
0,1,"TN","White","$40,000-$75,000","Male","30-44","some college","November","2012","Kaiser"
1,0,"TN","Black","$20,000-$40,000","Male","18-29","some college","November","2012","Kaiser"
1,1,"AZ","Hispanic","less than $20,000","Male","18-29","less than a high school education","November","2012","Kaiser"
0,0,"AZ","Other","less than $20,000","Male","18-29","postgraduate","November","2012","Kaiser"
NA,NA,"SC","Hispanic","less than $20,000","Female","18-29","high school graduate","November","2012","Kaiser"
0,0,"UT","White","$40,000-$75,000","Male","30-44","high school graduate","November","2012","Kaiser"
0,0,"WV","White","$75,000+","Male","30-44","high school graduate","November","2012","Kaiser"
0,1,"NY","White","$40,000-$75,000","Male","30-44","college graduate","November","2012","Kaiser"
1,0,"MN","White","less than $20,000","Female","45-64","high school graduate","November","2012","Kaiser"
0,0,"NC","White","$75,000+","Male","30-44","college graduate","November","2012","Kaiser"
1,0,"MD","Black","$20,000-$40,000","Female","18-29","some college","November","2012","Kaiser"
1,0,"NY","White","$20,000-$40,000","Female","65+","college graduate","November","2012","Kaiser"
1,0,"TX","Black","$40,000-$75,000","Male","65+","postgraduate","November","2012","Kaiser"
NA,1,"MS","Black","$75,000+","Female","18-29","college graduate","November","2012","Kaiser"
1,1,"OH","White","less than $20,000","Male","30-44","less than a high school education","November","2012","Kaiser"
0,1,"FL","White","$75,000+","Male","30-44","college graduate","November","2012","Kaiser"
0,0,"NY","White","$40,000-$75,000","Female","45-64","college graduate","November","2012","Kaiser"
0,1,"TX","Hispanic","$40,000-$75,000","Male","30-44","some college","November","2012","Kaiser"
0,0,"NY","White","$40,000-$75,000","Male","30-44","high school graduate","November","2012","Kaiser"
NA,NA,"TX","Black",NA,"Female","18-29","high school graduate","November","2012","Kaiser"
1,0,"NY","Black","$40,000-$75,000","Female","18-29","college graduate","November","2012","Kaiser"
1,0,"MA","Other","$75,000+","Male","30-44","postgraduate","November","2012","Kaiser"
NA,1,"TX","Other","less than $20,000","Female","45-64","less than a high school education","November","2012","Kaiser"
0,0,"MA","White","$75,000+","Female","45-64","college graduate","November","2012","Kaiser"
NA,0,"FL","Hispanic","less than $20,000","Female","18-29","some college","November","2012","Kaiser"
1,0,"MD","White","$75,000+","Male","65+","postgraduate","November","2012","Kaiser"
1,1,"MD","Black","$75,000+","Female","30-44","college graduate","November","2012","Kaiser"
0,0,"OK","White","$75,000+","Female","45-64","postgraduate","November","2012","Kaiser"
1,0,"PA","White","less than $20,000","Male","18-29","some college","November","2012","Kaiser"
0,1,"AR","White","$75,000+","Male","45-64","college graduate","November","2012","Kaiser"
0,1,"FL","White",NA,"Male","45-64","college graduate","November","2012","Kaiser"
NA,1,"TX","White","$40,000-$75,000","Female","45-64","high school graduate","November","2012","Kaiser"
1,0,"MN","Other","$20,000-$40,000","Female","18-29","some college","November","2012","Kaiser"
1,1,"KY","White","less than $20,000","Female","30-44","high school graduate","November","2012","Kaiser"
0,0,"OK","White","$75,000+","Female","18-29","some college","November","2012","Kaiser"
0,0,"MA","White",NA,"Female","30-44","college graduate","November","2012","Kaiser"
1,1,"TX","Hispanic","$20,000-$40,000","Male","18-29","less than a high school education","November","2012","Kaiser"
0,1,"TX","White","$75,000+","Male","45-64","college graduate","November","2012","Kaiser"
1,0,"TX","Black","less than $20,000","Female","18-29","some college","November","2012","Kaiser"
1,0,"NY","Black","$40,000-$75,000","Male","30-44","high school graduate","November","2012","Kaiser"
1,0,"FL","Black","$40,000-$75,000","Male","45-64","college graduate","November","2012","Kaiser"
0,0,"VA","Other","$40,000-$75,000","Male","45-64","some college","November","2012","Kaiser"
0,0,"MA","White","$40,000-$75,000","Male","45-64","postgraduate","November","2012","Kaiser"
0,1,"NC","Black","$20,000-$40,000","Male","30-44","some college","November","2012","Kaiser"
0,0,"NY","White","$75,000+","Female","30-44","college graduate","November","2012","Kaiser"
1,0,"NY","Hispanic","$75,000+","Male","30-44","some college","November","2012","Kaiser"
0,1,"GA","White","$40,000-$75,000","Female","18-29","college graduate","November","2012","Kaiser"
1,0,"IA","White","$75,000+","Female","30-44","some college","November","2012","Kaiser"
1,0,"IL","Black",NA,"Male","30-44","some college","November","2012","Kaiser"
1,0,"WI","White","$40,000-$75,000","Male","30-44","some college","November","2012","Kaiser"
0,0,"MI","White","$40,000-$75,000","Female","30-44","college graduate","November","2012","Kaiser"
0,1,"TX","White",NA,"Female","65+","postgraduate","November","2012","Kaiser"
1,0,"MD","Other","$40,000-$75,000","Male","30-44","postgraduate","November","2012","Kaiser"
1,0,"MO","White","$40,000-$75,000","Male","18-29","postgraduate","November","2012","Kaiser"
0,NA,"NJ","White","$40,000-$75,000","Male","18-29","high school graduate","November","2012","Kaiser"
1,0,"MD","Black","$75,000+","Female","30-44","college graduate","November","2012","Kaiser"
NA,0,"PA","White","less than $20,000","Male","18-29","high school graduate","November","2012","Kaiser"
NA,NA,"TN","White",NA,"Female","18-29","less than a high school education","November","2012","Kaiser"
0,0,"IA","White","$40,000-$75,000","Female","30-44","college graduate","November","2012","Kaiser"
1,0,"CT","Black","$20,000-$40,000","Male","30-44","college graduate","November","2012","Kaiser"
1,0,"WI","Black","$20,000-$40,000","Female","45-64","high school graduate","November","2012","Kaiser"
1,0,"VA","Other","$75,000+","Female","30-44","postgraduate","November","2012","Kaiser"
0,0,"CT","White",NA,"Male","45-64","high school graduate","November","2012","Kaiser"
0,0,"TX","Hispanic","$40,000-$75,000","Male","18-29","high school graduate","November","2012","Kaiser"
0,NA,"OK",NA,"$20,000-$40,000","Male","45-64","some college","November","2012","Kaiser"
0,1,"WV","White","$75,000+","Male","30-44","postgraduate","November","2012","Kaiser"
0,0,"MO","White",NA,"Male","18-29","high school graduate","November","2012","Kaiser"
1,0,"FL","Hispanic","$40,000-$75,000","Male","18-29","some college","November","2012","Kaiser"
NA,0,"WV","White","$75,000+","Female","18-29","high school graduate","November","2012","Kaiser"
NA,0,"TN","White","less than $20,000","Female","30-44","high school graduate","November","2012","Kaiser"
0,0,"OH","White","less than $20,000","Female","45-64","some college","November","2012","Kaiser"
0,0,"VA","White","$40,000-$75,000","Female","45-64","college graduate","November","2012","Kaiser"
1,0,"AL","Black","$40,000-$75,000","Male","18-29","some college","November","2012","Kaiser"
1,0,"IN","White","$20,000-$40,000","Male","45-64","high school graduate","November","2012","Kaiser"
NA,NA,"WV","White","$20,000-$40,000","Female","18-29","some college","November","2012","Kaiser"
0,0,"TN","White","less than $20,000","Female","30-44","high school graduate","November","2012","Kaiser"
0,0,"FL","White","$40,000-$75,000","Male","45-64","postgraduate","November","2012","Kaiser"
0,1,"FL","White","$75,000+","Male","30-44","college graduate","November","2012","Kaiser"
1,0,"TX","White",NA,"Female","45-64","some college","November","2012","Kaiser"
1,0,"TN","Black","$20,000-$40,000","Male","30-44","some college","November","2012","Kaiser"
1,NA,"MN","White","less than $20,000","Female","45-64","some college","November","2012","Kaiser"
1,0,"MN","White",NA,"Female","18-29","college graduate","November","2012","Kaiser"
1,0,"MD","Black","$75,000+","Male","30-44","postgraduate","November","2012","Kaiser"
1,0,"MO","White","$75,000+","Male","45-64","some college","November","2012","Kaiser"
1,0,"LA","White","$75,000+","Male","45-64","college graduate","November","2012","Kaiser"
1,0,"OK","Other",NA,"Male","18-29","some college","November","2012","Kaiser"
1,0,"MN","White","$75,000+","Female","45-64","postgraduate","November","2012","Kaiser"
0,1,"DC","White","$75,000+","Female","30-44","postgraduate","November","2012","Kaiser"
NA,0,"WI",NA,NA,"Male","45-64",NA,"November","2012","Kaiser"
NA,1,"TX","White","$20,000-$40,000","Female","18-29","college graduate","November","2012","Kaiser"
1,0,"TX","White","$40,000-$75,000","Male","30-44","some college","November","2012","Kaiser"
1,0,"NC","White","$75,000+","Male","30-44","college graduate","November","2012","Kaiser"
1,0,"LA","Black",NA,"Male","45-64","less than a high school education","November","2012","Kaiser"
0,0,"KY","White","$40,000-$75,000","Female","45-64","college graduate","November","2012","Kaiser"
NA,0,"KS","Black","less than $20,000","Male","18-29","high school graduate","November","2012","Kaiser"
0,0,"MO","White","$20,000-$40,000","Female","30-44","high school graduate","November","2012","Kaiser"
1,1,"CA","Hispanic","$40,000-$75,000","Male","30-44","some college","November","2012","Kaiser"
0,1,"IL","White","$20,000-$40,000","Male","30-44","postgraduate","November","2012","Kaiser"
1,0,"MN","White","$40,000-$75,000","Male","18-29","some college","November","2012","Kaiser"
1,0,"OR","Black","$40,000-$75,000","Female","45-64","high school graduate","November","2012","Kaiser"
1,0,"HI","Black","$75,000+","Male","45-64","postgraduate","November","2012","Kaiser"
0,1,"CA","Other","$20,000-$40,000","Female","65+","some college","November","2012","Kaiser"
NA,0,"CA","White",NA,"Male","30-44","high school graduate","November","2012","Kaiser"
1,0,"WI","White","$20,000-$40,000","Male","18-29","college graduate","November","2012","Kaiser"
0,0,"IA","White","$75,000+","Male","30-44","college graduate","November","2012","Kaiser"
0,1,"CO","White","less than $20,000","Female","30-44","high school graduate","November","2012","Kaiser"
0,0,"CA","Hispanic","$75,000+","Female","30-44","postgraduate","November","2012","Kaiser"
NA,0,"CA","Hispanic","$20,000-$40,000","Male","30-44","college graduate","November","2012","Kaiser"
1,0,"IL","Hispanic","$20,000-$40,000","Male","30-44","some college","November","2012","Kaiser"
1,0,"SD","White","$75,000+","Female","45-64","college graduate","November","2012","Kaiser"
1,0,"CA","Black","$40,000-$75,000","Male","65+","college graduate","November","2012","Kaiser"
1,0,"CO","Other","$75,000+","Male","30-44","postgraduate","November","2012","Kaiser"
NA,0,"CA","Hispanic","$40,000-$75,000","Female","45-64","high school graduate","November","2012","Kaiser"
0,0,"FL","Hispanic","$75,000+","Male","45-64","college graduate","November","2012","Kaiser"
NA,NA,"IL","White","less than $20,000","Female","18-29","college graduate","November","2012","Kaiser"
0,0,"CA","White","$75,000+","Male","45-64","college graduate","November","2012","Kaiser"
0,NA,"WA","White","$40,000-$75,000","Female","65+","high school graduate","November","2012","Kaiser"
0,0,"CT","White","$20,000-$40,000","Female","65+","some college","November","2012","Kaiser"
0,NA,"NM","White",NA,"Female","65+","high school graduate","November","2012","Kaiser"
1,1,"WA","White","$20,000-$40,000","Male","30-44","high school graduate","November","2012","Kaiser"
1,0,"WI","White","$40,000-$75,000","Male","45-64","college graduate","November","2012","Kaiser"
0,0,"CA",NA,"$20,000-$40,000","Male","30-44","college graduate","November","2012","Kaiser"
0,1,"IN","White","$75,000+","Female","45-64","high school graduate","November","2012","Kaiser"
0,0,"MI","White","$20,000-$40,000","Female","45-64","postgraduate","November","2012","Kaiser"
0,0,"NM","Hispanic","$75,000+","Female","45-64","some college","November","2012","Kaiser"
NA,0,"CO","White","$40,000-$75,000","Female","30-44","college graduate","November","2012","Kaiser"
0,1,"AZ","White","$75,000+","Female","45-64","some college","November","2012","Kaiser"
1,0,"CA","Hispanic","$20,000-$40,000","Male","45-64","high school graduate","November","2012","Kaiser"
0,1,"CO","White","$75,000+","Male","18-29","high school graduate","November","2012","Kaiser"
1,0,"UT","White","less than $20,000","Female","18-29","some college","November","2012","Kaiser"
0,1,"CA","Other","$40,000-$75,000","Male","18-29","high school graduate","November","2012","Kaiser"
0,0,"CO","White","$75,000+","Female","65+","some college","November","2012","Kaiser"
0,0,"WA","White","$40,000-$75,000","Male","45-64","college graduate","November","2012","Kaiser"
