"aca.fav","tea.party","state","race","income","sex","age","education","month","year","polling.org"
0,1,"GA",NA,"$40,000-$75,000","Female","65+","college graduate","September","2012","Kaiser"
0,NA,"GA","White","$40,000-$75,000","Male","45-64","high school graduate","September","2012","Kaiser"
0,0,"GA","White","$20,000-$40,000","Male","18-29","college graduate","September","2012","Kaiser"
0,0,"AR","Black","$40,000-$75,000","Female","45-64","some college","September","2012","Kaiser"
NA,0,"WI","White",NA,"Male","45-64","less than a high school education","September","2012","Kaiser"
1,0,"FL","Hispanic","$20,000-$40,000","Male","45-64","less than a high school education","September","2012","Kaiser"
1,0,"OR","White","less than $20,000","Female","65+","college graduate","September","2012","Kaiser"
1,1,"CA","Other","$75,000+","Female","18-29","some college","September","2012","Kaiser"
1,0,"OH","Black","$40,000-$75,000","Male","30-44",NA,"September","2012","Kaiser"
0,1,"NC","White","$20,000-$40,000","Male","65+","some college","September","2012","Kaiser"
NA,0,"CA","Black","$20,000-$40,000","Male","65+","high school graduate","September","2012","Kaiser"
0,0,"KS","White","$75,000+","Male","45-64","postgraduate","September","2012","Kaiser"
1,0,"AZ","Hispanic",NA,"Male","30-44",NA,"September","2012","Kaiser"
0,0,"TX","Hispanic","less than $20,000","Male","45-64","less than a high school education","September","2012","Kaiser"
0,0,"OK","White","$75,000+","Female","30-44","postgraduate","September","2012","Kaiser"
0,1,"TX","Hispanic","$40,000-$75,000","Male","18-29","high school graduate","September","2012","Kaiser"
1,0,"OK","White","$20,000-$40,000","Male","18-29","high school graduate","September","2012","Kaiser"
0,0,"CA","Other","$75,000+","Male","30-44","postgraduate","September","2012","Kaiser"
1,0,"WA","White","$40,000-$75,000","Male","18-29","some college","September","2012","Kaiser"
0,1,"TX","Hispanic","$75,000+","Male","45-64","college graduate","September","2012","Kaiser"
1,0,"CA","White","$40,000-$75,000","Male","45-64","college graduate","September","2012","Kaiser"
0,0,"IL","White",NA,"Male","18-29","college graduate","September","2012","Kaiser"
0,0,"MO","White","$75,000+","Male","30-44","postgraduate","September","2012","Kaiser"
NA,NA,"KS","White",NA,"Female","18-29","some college","September","2012","Kaiser"
1,0,"CA","Hispanic","$40,000-$75,000","Female","18-29","postgraduate","September","2012","Kaiser"
1,0,"CA","White",NA,"Female","30-44","college graduate","September","2012","Kaiser"
0,1,"ID","White","$20,000-$40,000","Female","18-29","high school graduate","September","2012","Kaiser"
1,0,"ID","White","less than $20,000","Male","18-29","some college","September","2012","Kaiser"
1,0,"CA","Hispanic",NA,"Female","18-29","some college","September","2012","Kaiser"
1,0,"CA","Hispanic","$20,000-$40,000","Female","18-29","postgraduate","September","2012","Kaiser"
