"aca.fav","tea.party","state","race","income","sex","age","education","month","year","polling.org"
1,0,"GA","White",NA,"Female","45-64","postgraduate","May","2012","Kaiser"
0,0,"LA","White","$20,000-$40,000","Female","65+","some college","May","2012","Kaiser"
0,1,"OK","White","$75,000+","Male","45-64","postgraduate","May","2012","Kaiser"
0,NA,"MS","White","$40,000-$75,000","Male","18-29","some college","May","2012","Kaiser"
0,1,"WY","White","$40,000-$75,000","Female","45-64","some college","May","2012","Kaiser"
0,0,"IL","Hispanic","$75,000+","Male","30-44","some college","May","2012","Kaiser"
NA,NA,"CA","White",NA,"Female","18-29","high school graduate","May","2012","Kaiser"
0,1,"NC","Hispanic","$75,000+","Male","30-44","high school graduate","May","2012","Kaiser"
1,0,"CT","White","$40,000-$75,000","Female","18-29","some college","May","2012","Kaiser"
0,0,"OH","White","$20,000-$40,000","Male","18-29","high school graduate","May","2012","Kaiser"
1,0,"AZ","White","$40,000-$75,000","Female","18-29","postgraduate","May","2012","Kaiser"
0,1,"OR","White","$75,000+","Male","30-44","college graduate","May","2012","Kaiser"
NA,0,"OH","White","$75,000+","Male","45-64","college graduate","May","2012","Kaiser"
1,0,"CA","White","$40,000-$75,000","Female","45-64","some college","May","2012","Kaiser"
0,1,"LA","Hispanic","$75,000+","Male","45-64","high school graduate","May","2012","Kaiser"
NA,0,"FL","White","$20,000-$40,000","Male","65+","some college","May","2012","Kaiser"
1,0,"VA","Black","$75,000+","Female","30-44","postgraduate","May","2012","Kaiser"
0,0,"IN","White","$40,000-$75,000","Male","30-44","high school graduate","May","2012","Kaiser"
1,0,"VA","Hispanic","$75,000+","Female","18-29","postgraduate","May","2012","Kaiser"
0,1,"CA","Other","less than $20,000","Male","45-64","college graduate","May","2012","Kaiser"
NA,0,"MI","White","$75,000+","Male","45-64","postgraduate","May","2012","Kaiser"
NA,0,"CA","White","$20,000-$40,000","Male","18-29","some college","May","2012","Kaiser"
0,NA,"CO","White","$75,000+","Female","30-44","college graduate","May","2012","Kaiser"
NA,0,"NY","Black","$75,000+","Female","18-29","college graduate","May","2012","Kaiser"
0,0,"AZ","White","$40,000-$75,000","Male","30-44","postgraduate","May","2012","Kaiser"
NA,0,"WA","Other","$20,000-$40,000","Male","30-44","high school graduate","May","2012","Kaiser"
NA,0,"TX","Hispanic","$40,000-$75,000","Male","65+","postgraduate","May","2012","Kaiser"
0,0,"MN","White","$40,000-$75,000","Male","45-64","college graduate","May","2012","Kaiser"
NA,0,"TX","White","$20,000-$40,000","Female","30-44","high school graduate","May","2012","Kaiser"
NA,0,"HI","Other","$40,000-$75,000","Male","18-29","college graduate","May","2012","Kaiser"
1,0,"AZ","Hispanic","$75,000+","Male","30-44","postgraduate","May","2012","Kaiser"
NA,NA,"OR","Hispanic","$75,000+","Female","30-44","some college","May","2012","Kaiser"
1,0,"CA","Other","$75,000+","Male","45-64","some college","May","2012","Kaiser"
0,1,"WA","White","$20,000-$40,000","Male","45-64","some college","May","2012","Kaiser"
