"aca.fav","tea.party","state","race","income","sex","age","education","month","year","polling.org"
0,1,"CT","White","$40,000-$75,000","Female","45-64","college graduate","April","2012","Kaiser"
1,0,"MI","White","$40,000-$75,000","Female","45-64","some college","April","2012","Kaiser"
1,0,"NJ","White","$75,000+","Male","45-64","postgraduate","April","2012","Kaiser"
0,1,"MA","White","$75,000+","Female","45-64","postgraduate","April","2012","Kaiser"
1,0,"MA","White","less than $20,000","Male","45-64","less than a high school education","April","2012","Kaiser"
NA,0,"MI","White","less than $20,000","Female","45-64","high school graduate","April","2012","Kaiser"
1,0,"NC","White","$40,000-$75,000","Female","45-64","college graduate","April","2012","Kaiser"
0,1,"NY","White","$40,000-$75,000","Female","45-64","high school graduate","April","2012","Kaiser"
1,0,"NY","White","$40,000-$75,000","Male","45-64","some college","April","2012","Kaiser"
1,0,"WI","White","$40,000-$75,000","Female","30-44","high school graduate","April","2012","Kaiser"
0,0,"IL","Other","$75,000+","Male","65+","postgraduate","April","2012","Kaiser"
1,0,"NJ","White","$75,000+","Female","30-44","college graduate","April","2012","Kaiser"
1,0,"IL","White","$40,000-$75,000","Male","30-44","college graduate","April","2012","Kaiser"
1,0,"MA","White","$75,000+","Male","30-44","college graduate","April","2012","Kaiser"
1,0,"NJ","White","$75,000+","Male","45-64","postgraduate","April","2012","Kaiser"
1,1,"PA","White","$40,000-$75,000","Female","45-64","college graduate","April","2012","Kaiser"
1,0,"MA","White","$75,000+","Male","65+","high school graduate","April","2012","Kaiser"
0,NA,"FL","White","$20,000-$40,000","Female","45-64","high school graduate","April","2012","Kaiser"
1,0,"PA","White","$40,000-$75,000","Female","45-64","college graduate","April","2012","Kaiser"
0,0,"OH","White","$75,000+","Female","30-44","high school graduate","April","2012","Kaiser"
1,0,"IN","White","$20,000-$40,000","Male","45-64","some college","April","2012","Kaiser"
0,0,"WI","White",NA,"Male","65+","college graduate","April","2012","Kaiser"
1,0,"FL","White","$75,000+","Male","45-64","college graduate","April","2012","Kaiser"
1,0,"IN","White","less than $20,000","Male","45-64","postgraduate","April","2012","Kaiser"
0,1,"NC","White","$40,000-$75,000","Male","30-44","college graduate","April","2012","Kaiser"
1,0,"VA","White","less than $20,000","Female","45-64","some college","April","2012","Kaiser"
NA,0,"PA","White","$20,000-$40,000","Female","45-64","high school graduate","April","2012","Kaiser"
0,0,"FL","White",NA,"Female","65+","college graduate","April","2012","Kaiser"
0,1,"VA","White","$75,000+","Male","45-64","college graduate","April","2012","Kaiser"
0,0,"MI","White",NA,"Female","65+","some college","April","2012","Kaiser"
1,0,"IL","White","$75,000+","Female","30-44","postgraduate","April","2012","Kaiser"
NA,0,"IN",NA,"less than $20,000","Female","65+","high school graduate","April","2012","Kaiser"
0,0,"TN","White","$75,000+","Male","45-64","some college","April","2012","Kaiser"
1,NA,"NY","White","$20,000-$40,000","Female","65+","high school graduate","April","2012","Kaiser"
1,0,"MI","White","$20,000-$40,000","Female","45-64","high school graduate","April","2012","Kaiser"
1,0,"PA","White","$40,000-$75,000","Female","45-64","postgraduate","April","2012","Kaiser"
NA,1,"MI","Black",NA,"Female","65+","less than a high school education","April","2012","Kaiser"
1,NA,"MS","White",NA,"Female","65+","some college","April","2012","Kaiser"
1,0,"MS","Black",NA,"Female","65+","college graduate","April","2012","Kaiser"
1,0,"NY","White","$20,000-$40,000","Female","65+","some college","April","2012","Kaiser"
0,1,"MI","White","$40,000-$75,000","Male","30-44","college graduate","April","2012","Kaiser"
1,0,"OH","White","$40,000-$75,000","Male","45-64","some college","April","2012","Kaiser"
0,0,"NJ","White","$20,000-$40,000","Male","65+","postgraduate","April","2012","Kaiser"
1,0,"PA","Black","less than $20,000","Female","65+","college graduate","April","2012","Kaiser"
0,1,"OH","White","$40,000-$75,000","Female","45-64","college graduate","April","2012","Kaiser"
NA,1,"AL","White","less than $20,000","Female","65+","less than a high school education","April","2012","Kaiser"
1,0,"DE","White","less than $20,000","Male","45-64","high school graduate","April","2012","Kaiser"
1,0,"MS","Black","less than $20,000","Female","45-64","less than a high school education","April","2012","Kaiser"
0,1,"TN","White","$20,000-$40,000","Male","65+","some college","April","2012","Kaiser"
0,0,"IL","White","$40,000-$75,000","Female","45-64","high school graduate","April","2012","Kaiser"
0,0,"NY","White","$40,000-$75,000","Male","45-64","college graduate","April","2012","Kaiser"
1,0,"NY","White","$75,000+","Male","45-64","postgraduate","April","2012","Kaiser"
NA,0,"PA","Black","less than $20,000","Female","65+","high school graduate","April","2012","Kaiser"
0,1,"KY","White","$40,000-$75,000","Male","65+","some college","April","2012","Kaiser"
0,0,"NC","White","$75,000+","Female","45-64","college graduate","April","2012","Kaiser"
1,0,"NC","Black",NA,"Female","45-64","high school graduate","April","2012","Kaiser"
NA,0,"SC","White","less than $20,000","Female","65+","some college","April","2012","Kaiser"
1,0,"VA","White",NA,"Male","45-64","college graduate","April","2012","Kaiser"
0,1,"MD","White","$40,000-$75,000","Male","65+","college graduate","April","2012","Kaiser"
0,1,"WI","Hispanic","$75,000+","Male","30-44","postgraduate","April","2012","Kaiser"
1,0,"FL","White","$20,000-$40,000","Female","65+","postgraduate","April","2012","Kaiser"
0,1,"VA","White","$40,000-$75,000","Female","45-64","high school graduate","April","2012","Kaiser"
0,1,"NC","White","$40,000-$75,000","Female","45-64","some college","April","2012","Kaiser"
0,0,"SC","White","$75,000+","Female","45-64","college graduate","April","2012","Kaiser"
